  QueueTimes | ServiceTimes | SojournTimes

       0.272 |        1.070 |        1.342
       0.283 |        1.053 |        1.336
       0.289 |        1.093 |        1.382
       0.212 |        1.053 |        1.265
       0.239 |        1.059 |        1.298
       0.259 |        1.148 |        1.407
       0.263 |        1.273 |        1.535
       0.295 |        1.082 |        1.377
       0.355 |        1.065 |        1.420
       0.285 |        1.062 |        1.347
       0.333 |        1.241 |        1.574
       0.240 |        1.145 |        1.386
       0.297 |        1.069 |        1.366
       0.322 |        1.241 |        1.563
       0.247 |        1.223 |        1.469
       0.241 |        1.211 |        1.452
       0.240 |        1.181 |        1.421
       0.218 |        1.299 |        1.516
       0.306 |        1.132 |        1.438
       0.300 |        1.091 |        1.392
       0.264 |        1.039 |        1.302
       0.248 |        1.221 |        1.469
       0.293 |        1.078 |        1.371
       0.279 |        1.415 |        1.694
       0.266 |        1.156 |        1.422
       0.297 |        1.286 |        1.583
       0.273 |        1.085 |        1.358
       0.266 |        1.335 |        1.600
       0.298 |        1.085 |        1.383
       0.292 |        1.103 |        1.395
       0.298 |        1.059 |        1.357
       0.291 |        1.211 |        1.502
       0.254 |        1.063 |        1.317
       0.212 |        1.138 |        1.350
       0.560 |        1.153 |        1.713
       1.159 |        1.084 |        2.243
       0.199 |        1.151 |        1.349
       0.297 |        1.058 |        1.354
       0.230 |        1.142 |        1.371
       0.269 |        1.077 |        1.346
       0.288 |        1.189 |        1.477
       0.326 |        1.098 |        1.424
       0.241 |        1.206 |        1.447
       0.332 |        1.349 |        1.682
       0.233 |        1.140 |        1.373
       0.322 |        1.047 |        1.370
       0.285 |        1.206 |        1.491
       0.342 |        1.088 |        1.430
       0.254 |        1.119 |        1.373
       0.536 |        1.050 |        1.586
       0.412 |        1.017 |        1.429
       0.192 |        1.143 |        1.336
       0.489 |        1.037 |        1.526
       0.214 |        1.106 |        1.321
       0.270 |        1.063 |        1.333
       0.336 |        1.047 |        1.383
       0.220 |        1.137 |        1.357
       0.239 |        1.127 |        1.366
       0.201 |        1.124 |        1.324
       0.243 |        1.254 |        1.496
       0.259 |        1.061 |        1.320
       0.240 |        1.151 |        1.391
       1.087 |        0.995 |        2.082
       0.257 |        1.028 |        1.286
       0.280 |        1.040 |        1.320
       0.226 |        1.194 |        1.420
       0.273 |        1.367 |        1.640
       0.239 |        1.206 |        1.446
       0.199 |        1.152 |        1.350
       0.767 |        0.995 |        1.762
       0.327 |        1.066 |        1.393
       0.291 |        1.069 |        1.360
       0.293 |        1.027 |        1.320
       0.332 |        1.064 |        1.396
       0.250 |        1.016 |        1.266
       0.307 |        1.044 |        1.351
       0.282 |        1.042 |        1.323
       0.271 |        1.083 |        1.354
       0.252 |        1.033 |        1.285
