  QueueTimes | ServiceTimes | SojournTimes

    3228.521 |       54.640 |     3283.161
    3264.367 |       33.049 |     3297.417
    3237.552 |       42.303 |     3279.855
    3279.444 |       41.434 |     3320.879
    3313.326 |       42.155 |     3355.481
    3354.606 |       41.909 |     3396.516
    3393.560 |       41.401 |     3434.961
    3400.603 |       50.461 |     3451.064
    3450.666 |       33.371 |     3484.037
    3476.407 |       41.999 |     3518.406
    3515.559 |       64.910 |     3580.469
    3564.925 |      226.973 |     3791.898
    3788.152 |       42.190 |     3830.342
    3827.719 |       41.447 |     3869.166
    3854.915 |       33.417 |     3888.333
    3861.107 |       50.473 |     3911.580
    3903.568 |       41.915 |     3945.483
    3914.571 |       41.302 |     3955.873
    3949.375 |       50.579 |     3999.954
    3996.949 |       75.190 |     4072.140
    4068.716 |       41.380 |     4110.096
    4099.097 |       41.718 |     4140.815
    4127.032 |       42.128 |     4169.160
    4150.561 |       42.331 |     4192.892
    4186.759 |       41.286 |     4228.045
    4216.676 |      100.017 |     4316.693
    4311.048 |       91.830 |     4402.877
    4402.728 |       75.544 |     4478.272
    4470.316 |       41.735 |     4512.051
    4501.703 |       42.316 |     4544.019
    4537.251 |       32.917 |     4570.168
    4569.127 |       42.135 |     4611.262
    4610.437 |       33.258 |     4643.696
    4628.840 |       33.129 |     4661.968
    4652.058 |       42.387 |     4694.445
    4694.396 |       32.947 |     4727.343
    4720.549 |       33.379 |     4753.928
    4735.185 |       42.228 |     4777.414
    4766.399 |       41.938 |     4808.337
    4804.996 |        0.543 |     4805.539
    4791.779 |       32.304 |     4824.083
    4818.051 |       33.434 |     4851.485
    4835.696 |       58.913 |     4894.609
    4883.586 |       33.066 |     4916.653
    4904.872 |       42.144 |     4947.016
    4937.954 |       41.328 |     4979.282
    4971.578 |       42.269 |     5013.847
    5002.769 |       32.960 |     5035.729
    5017.762 |       33.510 |     5051.272
    5046.995 |       42.139 |     5089.134
    5085.802 |       41.845 |     5127.647
    5126.417 |       41.355 |     5167.772
    5162.865 |       42.097 |     5204.962
    5178.144 |       50.204 |     5228.348
    5216.707 |       50.238 |     5266.944
    5260.642 |       41.771 |     5302.413
    5297.493 |        0.524 |     5298.017
    5297.861 |       41.306 |     5339.167
    5328.206 |       50.127 |     5378.333
    5365.336 |       50.121 |     5415.457
    5401.472 |       41.311 |     5442.783
    5434.367 |       50.634 |     5485.000
    5479.580 |       33.009 |     5512.589
    5501.352 |       42.158 |     5543.510
    5533.846 |       50.161 |     5584.007
    5542.359 |       41.870 |     5584.229
    5568.113 |       50.153 |     5618.267
    5600.378 |       66.862 |     5667.239
    5648.639 |       33.041 |     5681.681
    5674.798 |       50.507 |     5725.305
    5707.068 |       41.777 |     5748.845
    5748.762 |       42.197 |     5790.959
    5785.352 |       41.895 |     5827.247
    5826.090 |       41.764 |     5867.853
    5852.402 |        0.602 |     5853.004
    5831.328 |        2.710 |     5834.038
    5822.335 |       46.844 |     5869.179
    5867.763 |        3.291 |     5871.054
    5868.785 |       38.208 |     5906.993
    5894.089 |       50.360 |     5944.449
    5934.362 |       41.800 |     5976.161
    5970.822 |       41.841 |     6012.664
    5998.908 |       41.419 |     6040.327
    6031.109 |       41.667 |     6072.776
    6069.882 |       42.217 |     6112.099
    6104.173 |       41.445 |     6145.617
    6144.866 |       41.777 |     6186.644
    6185.252 |       41.547 |     6226.799
    6210.519 |       42.223 |     6252.742
    6251.275 |       41.369 |     6292.644
    6274.857 |       42.168 |     6317.026
    6312.019 |       32.979 |     6344.999
    6344.936 |       33.440 |     6378.376
    6376.491 |       42.165 |     6418.656
    6417.592 |       66.905 |     6484.497
    6478.454 |       41.303 |     6519.756
    6509.968 |       33.421 |     6543.389
    6506.775 |       42.253 |     6549.027
    6546.505 |       41.835 |     6588.341
    6585.040 |       33.059 |     6618.099
    6615.218 |       42.231 |     6657.449
    6649.889 |       41.781 |     6691.670
    6672.463 |       41.843 |     6714.305
    6704.940 |       33.015 |     6737.955
    6712.979 |       42.315 |     6755.294
    6692.194 |       41.272 |     6733.466
    6716.433 |       33.189 |     6749.622
    6728.621 |       42.443 |     6771.064
    6758.844 |       41.853 |     6800.698
    6799.799 |       50.153 |     6849.952
    6846.161 |       41.817 |     6887.977
    6866.234 |        0.532 |     6866.766
    6862.857 |       49.602 |     6912.460
    6903.018 |       32.895 |     6935.912
    6928.218 |       42.279 |     6970.497
    6966.171 |       32.990 |     6999.161
    6992.937 |       42.180 |     7035.117
    7030.584 |       41.908 |     7072.491
    7050.831 |       41.373 |     7092.205
    7088.546 |       50.525 |     7139.071
    7136.628 |       41.728 |     7178.356
    7168.318 |       41.907 |     7210.225
    7196.206 |       41.231 |     7237.437
    7234.944 |       42.684 |     7277.628
    7270.910 |       41.146 |     7312.056
    7303.238 |       50.632 |     7353.870
    7353.536 |       41.419 |     7394.955
    7392.109 |       67.071 |     7459.180
    7444.716 |       50.219 |     7494.935
    7491.157 |       33.019 |     7524.177
    7500.885 |       50.619 |     7551.504
    7550.532 |       50.215 |     7600.747
    7600.468 |       49.983 |     7650.451
    7631.685 |       50.216 |     7681.902
    7676.455 |       41.810 |     7718.265
    7713.478 |       32.957 |     7746.435
    7732.841 |       42.294 |     7775.135
    7774.195 |       41.315 |     7815.510
    7813.075 |       50.540 |     7863.615
    7855.884 |       41.826 |     7897.710
    7881.925 |       41.391 |     7923.316
    7916.646 |       41.690 |     7958.336
    7956.248 |       50.616 |     8006.863
    8003.557 |       50.083 |     8053.640
    8053.617 |       41.287 |     8094.904
    8075.351 |       42.404 |     8117.754
    8111.788 |       41.760 |     8153.548
    8152.146 |       41.847 |     8193.994
    8160.611 |       41.308 |     8201.919
    8191.687 |       50.520 |     8242.207
    8239.705 |       41.234 |     8280.938
    8268.754 |       42.359 |     8311.113
    8303.632 |       41.918 |     8345.550
    8336.209 |       41.197 |     8377.406
    8375.347 |       50.550 |     8425.897
    8399.738 |       33.475 |     8433.213
    8415.777 |       32.996 |     8448.773
    8446.577 |       42.228 |     8488.805
    8482.268 |       33.064 |     8515.332
    8512.661 |       42.184 |     8554.846
    8535.772 |       32.988 |     8568.760
    8563.805 |       42.134 |     8605.939
