  QueueTimes | ServiceTimes | SojournTimes

       0.270 |        0.556 |        0.826
       0.416 |        0.461 |        0.876
       0.232 |        0.329 |        0.561
       0.365 |        0.525 |        0.890
       0.273 |        0.278 |        0.551
       0.357 |        0.491 |        0.848
       0.286 |        0.286 |        0.571
       0.285 |        0.268 |        0.553
       0.294 |        0.240 |        0.534
       0.280 |        0.263 |        0.543
       0.287 |        0.400 |        0.687
       0.377 |        0.535 |        0.912
       0.339 |        0.410 |        0.749
       0.298 |        0.304 |        0.602
       0.264 |        0.315 |        0.578
       0.235 |        0.371 |        0.606
       0.307 |        0.786 |        1.092
       0.285 |        0.316 |        0.601
       0.265 |        0.355 |        0.620
       0.311 |        0.277 |        0.589
       0.205 |        0.257 |        0.461
       0.355 |        0.351 |        0.706
       0.272 |        0.386 |        0.658
       0.297 |        0.429 |        0.726
       0.315 |        0.489 |        0.804
       0.348 |        0.283 |        0.631
       0.367 |        0.423 |        0.790
       0.549 |        0.254 |        0.803
       0.295 |        0.303 |        0.598
       0.249 |        0.416 |        0.665
       0.409 |        0.433 |        0.842
       0.270 |        0.436 |        0.705
       0.237 |        0.290 |        0.527
       0.254 |        0.259 |        0.513
       0.277 |        0.253 |        0.530
       0.310 |        0.398 |        0.708
       0.266 |        0.587 |        0.853
       0.345 |        0.295 |        0.639
       0.270 |        0.592 |        0.862
       0.600 |        0.267 |        0.867
       0.211 |        0.393 |        0.605
       0.314 |        0.429 |        0.743
       0.288 |        0.422 |        0.710
       0.278 |        0.291 |        0.569
       0.258 |        0.320 |        0.578
       0.331 |        0.412 |        0.743
       0.295 |        0.266 |        0.561
       0.192 |        0.275 |        0.467
       0.207 |        0.247 |        0.454
       0.268 |        0.448 |        0.716
       0.308 |        0.512 |        0.820
       0.349 |        0.327 |        0.676
       0.251 |        0.325 |        0.576
       0.617 |        0.401 |        1.018
       0.451 |        0.286 |        0.737
       0.382 |        0.432 |        0.814
       0.377 |        0.386 |        0.763
       0.293 |        0.628 |        0.922
       0.286 |        0.309 |        0.594
       0.242 |        0.452 |        0.694
       0.243 |        0.277 |        0.520
       0.322 |        0.308 |        0.630
       0.592 |        0.233 |        0.824
       0.315 |        0.517 |        0.832
       0.373 |        0.500 |        0.873
       0.400 |        0.369 |        0.769
       0.360 |        0.424 |        0.784
       0.234 |        0.322 |        0.556
       0.285 |        0.401 |        0.687
       0.198 |        0.274 |        0.472
       0.318 |        0.384 |        0.702
       0.304 |        0.468 |        0.772
       0.425 |        0.415 |        0.840
       0.281 |        0.345 |        0.625
       0.311 |        0.291 |        0.602
       0.352 |        0.458 |        0.809
       0.336 |        0.424 |        0.760
       0.424 |        0.428 |        0.851
       0.377 |        0.392 |        0.770
       0.322 |        0.463 |        0.785
       0.306 |        0.411 |        0.718
       0.300 |        0.471 |        0.771
       0.360 |        0.322 |        0.682
       0.296 |        0.456 |        0.751
       0.269 |        0.288 |        0.557
       0.369 |        0.401 |        0.770
       0.271 |        0.387 |        0.658
       0.308 |        0.286 |        0.593
       0.268 |        0.422 |        0.690
       0.305 |        0.337 |        0.642
