  QueueTimes | ServiceTimes | SojournTimes

   15303.294 |      422.957 |    15726.251
   15459.847 |      547.583 |    16007.431
   15932.721 |      465.686 |    16398.406
   16292.403 |     1530.848 |    17823.251
   17702.629 |     1109.303 |    18811.931
   18668.493 |     1671.995 |    20340.488
   20335.845 |      994.306 |    21330.151
   21290.550 |     1387.378 |    22677.928
   22536.790 |      509.053 |    23045.843
   23000.592 |      956.805 |    23957.397
   23552.687 |     1198.902 |    24751.589
   24611.797 |      920.413 |    25532.210
   25524.786 |     1121.283 |    26646.070
   26430.322 |     1892.089 |    28322.411
   28265.146 |      537.552 |    28802.698
   28737.846 |      553.179 |    29291.024
   29259.033 |     1085.437 |    30344.470
   30326.480 |     1758.557 |    32085.037
   31857.298 |      864.313 |    32721.611
   32715.471 |     1113.634 |    33829.106
   33759.142 |     1839.612 |    35598.754
   35560.395 |      199.171 |    35759.566
   35691.489 |      644.071 |    36335.560
   36326.170 |      488.631 |    36814.801
   36807.268 |     1052.302 |    37859.570
   37811.287 |      934.637 |    38745.924
   38500.927 |     1572.976 |    40073.903
   40011.567 |      915.552 |    40927.119
   40922.120 |     1305.501 |    42227.620
   42080.758 |     1892.787 |    43973.545
   43960.270 |      939.853 |    44900.123
   44783.656 |      781.787 |    45565.443
   45466.385 |     1223.891 |    46690.276
   46561.084 |      606.379 |    47167.464
   46948.125 |      891.199 |    47839.324
   47802.779 |      613.498 |    48416.277
   48344.548 |     2188.461 |    50533.009
   50346.023 |     1295.344 |    51641.366
   51457.322 |     1269.205 |    52726.527
   52672.954 |      346.258 |    53019.212
   52956.219 |     1156.934 |    54113.153
   54093.674 |      892.845 |    54986.519
   54902.033 |     1465.694 |    56367.727
   56364.327 |      260.522 |    56624.849
   56555.978 |      335.159 |    56891.137
   56753.338 |     1294.003 |    58047.341
   57826.071 |      276.411 |    58102.482
   57918.046 |     1062.025 |    58980.070
   58956.365 |      893.511 |    59849.876
   59835.905 |      506.850 |    60342.755
   60310.804 |      568.627 |    60879.432
   60826.078 |      889.481 |    61715.559
   61591.964 |     1048.845 |    62640.810
   62613.505 |      795.366 |    63408.871
   63370.957 |     1409.225 |    64780.182
   64674.663 |      352.093 |    65026.757
   64912.414 |      514.233 |    65426.647
   65377.781 |     1226.065 |    66603.846
   66588.037 |     1205.349 |    67793.386
   67606.977 |     2051.042 |    69658.018
   69347.071 |     1651.191 |    70998.262
   70982.338 |      325.348 |    71307.686
   71255.264 |      604.585 |    71859.849
   71776.826 |     1504.153 |    73280.979
   73214.095 |     1451.016 |    74665.111
   74340.630 |      400.803 |    74741.433
   74719.289 |      891.771 |    75611.059
   75511.951 |      422.844 |    75934.794
   75829.632 |      839.671 |    76669.303
   76506.966 |      967.447 |    77474.413
   77409.847 |     1391.711 |    78801.558
   78779.009 |     1028.161 |    79807.170
   79575.424 |     1336.720 |    80912.144
   80897.010 |      806.987 |    81703.997
   81651.342 |      976.993 |    82628.335
   82411.651 |      819.457 |    83231.108
   83213.521 |      899.197 |    84112.718
   84067.413 |     1309.828 |    85377.241
   85362.945 |     1432.909 |    86795.854
   86735.223 |      592.857 |    87328.080
   87268.093 |     1570.575 |    88838.667
   88570.504 |     1058.335 |    89628.839
   89604.820 |      897.587 |    90502.407
   90262.942 |      808.078 |    91071.019
   90873.960 |     1063.747 |    91937.707
   91867.378 |      953.307 |    92820.685
   92650.715 |     1080.009 |    93730.723
   93668.820 |     1114.584 |    94783.404
   94683.409 |     1163.564 |    95846.972
   95673.008 |      506.395 |    96179.403
   96058.479 |     2330.930 |    98389.409
   98080.700 |      548.770 |    98629.470
   98595.432 |      308.673 |    98904.105
   98832.132 |      716.220 |    99548.352
   99494.896 |      523.860 |   100018.756
   99809.734 |      434.718 |   100244.451
  100113.812 |     1778.410 |   101892.221
  101766.577 |      411.757 |   102178.334
  102055.947 |     1522.174 |   103578.121
  103576.908 |      255.698 |   103832.606
