  QueueTimes | ServiceTimes | SojournTimes

    1987.728 |       78.589 |     2066.317
    2016.268 |       71.742 |     2088.010
    2042.922 |       32.482 |     2075.404
    2049.643 |        6.399 |     2056.043
    1965.966 |       55.833 |     2021.799
    2001.328 |       46.252 |     2047.581
    2000.260 |        6.268 |     2006.529
    1987.139 |        0.390 |     1987.529
    1951.501 |       45.452 |     1996.953
    1978.068 |       34.194 |     2012.262
    1993.797 |       18.941 |     2012.738
    1925.756 |       47.477 |     1973.233
    1799.468 |       43.004 |     1842.473
    1810.201 |       41.091 |     1851.292
    1847.775 |       61.128 |     1908.903
    1848.186 |       32.887 |     1881.072
    1853.742 |       17.259 |     1871.001
    1830.889 |       64.129 |     1895.019
    1848.524 |       58.832 |     1907.356
    1846.633 |       22.627 |     1869.261
    1843.043 |       37.930 |     1880.974
    1841.077 |       39.529 |     1880.606
    1855.303 |       48.894 |     1904.197
    1895.707 |       44.381 |     1940.088
    1938.929 |       19.149 |     1958.078
    1920.069 |       84.802 |     2004.871
    1961.068 |        6.765 |     1967.833
    1923.858 |      108.589 |     2032.447
    1971.830 |       50.281 |     2022.110
    2014.357 |       42.078 |     2056.435
    2031.760 |       20.708 |     2052.468
    1937.242 |       53.525 |     1990.766
    1965.299 |       38.328 |     2003.627
    1948.599 |       24.818 |     1973.417
    1965.910 |       41.450 |     2007.360
    1912.103 |       53.344 |     1965.448
    1940.752 |       39.806 |     1980.559
    1964.553 |       57.383 |     2021.936
    2021.379 |        0.631 |     2022.010
    1996.695 |       46.104 |     2042.799
    2022.868 |       18.124 |     2040.992
    2010.743 |       51.141 |     2061.884
    2060.327 |       68.604 |     2128.931
    2092.371 |        0.858 |     2093.230
    1992.885 |       35.574 |     2028.458
    1974.339 |       48.510 |     2022.849
    2019.288 |        1.012 |     2020.300
    1983.097 |       36.701 |     2019.798
    2008.917 |       19.291 |     2028.209
    1929.558 |       55.544 |     1985.101
    1955.890 |       37.785 |     1993.675
    1902.167 |       16.587 |     1918.755
    1882.694 |        2.334 |     1885.028
    1864.117 |       85.771 |     1949.889
    1921.345 |       29.897 |     1951.242
    1939.599 |       53.028 |     1992.627
    1957.824 |       40.045 |     1997.868
    1977.274 |       24.384 |     2001.658
    2001.087 |       43.144 |     2044.231
    1994.612 |       38.768 |     2033.381
