  QueueTimes | ServiceTimes | SojournTimes

       0.155 |        0.358 |        0.513
       0.159 |        0.330 |        0.489
       0.179 |        0.459 |        0.638
       0.624 |        0.320 |        0.944
       0.194 |        0.420 |        0.614
       0.661 |        0.311 |        0.972
       0.186 |        0.337 |        0.523
       0.158 |        0.340 |        0.498
       0.156 |        0.334 |        0.490
       0.156 |        0.336 |        0.491
       0.152 |        0.334 |        0.486
       0.142 |        0.469 |        0.610
       0.408 |        0.316 |        0.724
       0.215 |        0.318 |        0.533
       0.218 |        0.330 |        0.547
       0.160 |        0.473 |        0.633
       0.372 |        0.318 |        0.690
       0.192 |        0.332 |        0.523
       0.177 |        0.341 |        0.518
       0.186 |        0.426 |        0.612
       0.306 |        0.309 |        0.615
       0.147 |        0.436 |        0.583
       0.537 |        0.322 |        0.859
       0.176 |        0.336 |        0.512
       0.145 |        0.419 |        0.564
       0.437 |        0.310 |        0.746
       0.184 |        0.331 |        0.515
       0.134 |        0.361 |        0.494
       0.155 |        0.336 |        0.490
       0.157 |        0.334 |        0.491
       0.122 |        0.335 |        0.457
       0.158 |        0.333 |        0.491
       0.154 |        0.468 |        0.622
       0.456 |        0.296 |        0.752
       0.131 |        0.429 |        0.559
       0.412 |        0.332 |        0.744
       0.269 |        0.478 |        0.747
       0.465 |        0.394 |        0.859
       0.592 |        0.316 |        0.907
       0.625 |        0.309 |        0.934
       0.156 |        0.335 |        0.492
       0.154 |        0.331 |        0.485
       0.133 |        0.426 |        0.559
       0.329 |        0.338 |        0.668
       0.193 |        0.324 |        0.517
       0.197 |        0.338 |        0.535
       0.155 |        0.378 |        0.533
       0.142 |        0.337 |        0.480
       0.140 |        0.416 |        0.556
       0.451 |        0.308 |        0.759
       0.164 |        0.334 |        0.498
       0.171 |        0.365 |        0.536
       0.161 |        0.318 |        0.479
       0.451 |        0.437 |        0.888
       0.507 |        0.372 |        0.879
       0.807 |        0.306 |        1.113
       0.193 |        0.338 |        0.531
       0.125 |        0.429 |        0.555
       0.363 |        0.316 |        0.679
       0.146 |        0.475 |        0.621
       0.427 |        0.406 |        0.833
       0.381 |        0.411 |        0.792
       0.594 |        0.308 |        0.901
       0.664 |        0.333 |        0.997
       0.195 |        0.324 |        0.518
       0.184 |        0.385 |        0.569
       0.177 |        0.420 |        0.597
       0.430 |        0.332 |        0.762
       0.184 |        0.330 |        0.515
       0.221 |        0.319 |        0.540
       0.219 |        0.375 |        0.594
       0.192 |        0.333 |        0.526
       0.188 |        0.332 |        0.520
       0.195 |        0.335 |        0.530
       0.191 |        0.349 |        0.541
       0.194 |        0.365 |        0.558
       0.187 |        0.328 |        0.514
       0.193 |        0.392 |        0.585
       0.193 |        0.322 |        0.515
       0.200 |        0.334 |        0.534
       0.190 |        0.343 |        0.533
       0.566 |        0.484 |        1.050
       0.585 |        0.412 |        0.996
       0.775 |        0.371 |        1.146
       0.852 |        0.392 |        1.244
       1.223 |        0.352 |        1.575
       0.737 |        0.401 |        1.139
       0.633 |        0.309 |        0.943
       0.992 |        0.356 |        1.348
       0.264 |        0.314 |        0.577
       0.179 |        0.329 |        0.508
       0.152 |        0.423 |        0.575
       0.190 |        0.322 |        0.512
       0.233 |        0.324 |        0.557
       0.396 |        0.398 |        0.794
       0.507 |        0.337 |        0.843
       0.482 |        0.399 |        0.880
       0.385 |        0.311 |        0.696
       0.217 |        0.320 |        0.536
       0.182 |        0.358 |        0.540
       0.221 |        0.328 |        0.548
       0.226 |        0.459 |        0.685
       0.382 |        0.310 |        0.692
       0.190 |        0.333 |        0.522
       0.191 |        0.341 |        0.532
       0.186 |        0.338 |        0.524
       0.178 |        0.348 |        0.527
       0.144 |        0.447 |        0.591
       0.660 |        0.367 |        1.027
       0.474 |        0.296 |        0.769
       0.219 |        0.451 |        0.670
       0.449 |        0.309 |        0.758
       0.184 |        0.343 |        0.527
       0.188 |        0.332 |        0.520
       0.163 |        0.337 |        0.500
       0.187 |        0.358 |        0.545
       0.264 |        0.486 |        0.751
       0.486 |        0.317 |        0.804
       0.451 |        0.310 |        0.762
       0.157 |        0.336 |        0.494
       0.190 |        0.325 |        0.515
       0.161 |        0.426 |        0.587
       0.558 |        0.308 |        0.867
       0.143 |        0.443 |        0.586
       0.610 |        0.352 |        0.962
       0.424 |        0.308 |        0.732
       0.594 |        0.361 |        0.955
       0.186 |        0.430 |        0.615
       0.401 |        0.308 |        0.709
       0.129 |        0.332 |        0.461
       0.603 |        0.428 |        1.031
       0.393 |        0.438 |        0.831
       0.624 |        0.320 |        0.945
       0.798 |        0.311 |        1.108
       0.554 |        0.413 |        0.968
       0.165 |        0.410 |        0.575
       0.546 |        0.383 |        0.928
       0.390 |        0.328 |        0.718
       0.156 |        0.336 |        0.491
       0.092 |        0.453 |        0.545
       0.591 |        0.328 |        0.919
       0.180 |        0.318 |        0.498
       0.185 |        0.325 |        0.510
       0.223 |        0.326 |        0.549
       0.220 |        0.377 |        0.597
       0.883 |        0.338 |        1.221
       0.364 |        0.411 |        0.776
       0.411 |        0.390 |        0.801
       0.582 |        0.331 |        0.913
       0.250 |        0.317 |        0.567
       0.191 |        0.330 |        0.521
       0.272 |        0.424 |        0.696
       0.583 |        0.318 |        0.901
       0.792 |        0.311 |        1.102
       0.186 |        0.372 |        0.559
       0.255 |        0.349 |        0.604
       0.190 |        0.335 |        0.525
       0.190 |        0.333 |        0.523
       0.191 |        0.355 |        0.546
       0.192 |        0.331 |        0.523
       0.192 |        0.338 |        0.530
       0.188 |        0.329 |        0.517
       0.484 |        0.484 |        0.969
       0.506 |        0.409 |        0.915
       0.850 |        0.338 |        1.188
       0.956 |        0.322 |        1.278
       0.537 |        0.308 |        0.845
       0.325 |        0.424 |        0.749
       0.526 |        0.329 |        0.856
       0.639 |        0.324 |        0.963
       0.344 |        0.450 |        0.794
       0.525 |        0.347 |        0.872
       0.438 |        0.315 |        0.753
       0.188 |        0.330 |        0.518
       0.227 |        0.319 |        0.546
       0.257 |        0.320 |        0.577
       0.417 |        0.425 |        0.843
       0.476 |        0.359 |        0.835
       0.558 |        0.308 |        0.866
       0.180 |        0.448 |        0.629
       0.654 |        0.413 |        1.067
       0.360 |        0.342 |        0.702
       0.530 |        0.402 |        0.932
       0.496 |        0.381 |        0.877
       0.807 |        0.348 |        1.155
       0.647 |        0.381 |        1.028
       0.626 |        0.317 |        0.944
       0.589 |        0.338 |        0.927
       0.173 |        0.420 |        0.593
       0.495 |        0.358 |        0.853
       0.262 |        0.396 |        0.658
       0.160 |        0.338 |        0.498
       0.208 |        0.328 |        0.536
       0.162 |        0.341 |        0.503
       0.187 |        0.470 |        0.657
       0.650 |        0.338 |        0.988
       0.184 |        0.330 |        0.514
       0.153 |        0.334 |        0.487
       0.131 |        0.335 |        0.466
       0.127 |        0.430 |        0.557
       0.551 |        0.297 |        0.848
       0.289 |        0.487 |        0.776
       0.655 |        0.316 |        0.971
       0.692 |        0.342 |        1.034
       0.156 |        0.331 |        0.487
       0.120 |        0.428 |        0.548
       0.552 |        0.309 |        0.861
       0.150 |        0.420 |        0.570
       0.542 |        0.380 |        0.922
       0.406 |        0.308 |        0.714
       0.171 |        0.455 |        0.626
       0.425 |        0.356 |        0.781
       0.247 |        0.369 |        0.615
       0.172 |        0.313 |        0.485
       0.104 |        0.425 |        0.529
       0.511 |        0.309 |        0.820
       0.157 |        0.340 |        0.497
       0.151 |        0.344 |        0.495
       0.159 |        0.336 |        0.495
       0.837 |        0.355 |        1.192
       0.355 |        0.409 |        0.764
       0.273 |        0.393 |        0.666
       0.671 |        0.325 |        0.997
       0.129 |        0.347 |        0.476
       0.165 |        0.324 |        0.489
       0.171 |        0.423 |        0.593
       0.385 |        0.313 |        0.698
       0.185 |        0.356 |        0.542
       0.165 |        0.427 |        0.592
       0.510 |        0.294 |        0.804
       0.219 |        0.337 |        0.555
       0.222 |        0.325 |        0.547
       0.191 |        0.442 |        0.633
       0.375 |        0.318 |        0.693
       0.183 |        0.334 |        0.517
       0.324 |        0.367 |        0.690
       0.133 |        0.326 |        0.458
       0.175 |        0.386 |        0.561
       0.312 |        0.428 |        0.740
       0.607 |        0.326 |        0.932
       0.825 |        0.308 |        1.133
       0.130 |        0.344 |        0.474
       0.194 |        0.331 |        0.525
       0.155 |        0.440 |        0.595
       0.332 |        0.300 |        0.632
       0.235 |        0.448 |        0.683
       0.447 |        0.308 |        0.756
       0.189 |        0.336 |        0.526
       0.176 |        0.408 |        0.584
       0.292 |        0.310 |        0.603
       0.179 |        0.334 |        0.513
       0.294 |        0.459 |        0.753
       0.601 |        0.346 |        0.947
       0.611 |        0.336 |        0.948
       0.500 |        0.325 |        0.825
       0.129 |        0.428 |        0.557
       0.449 |        0.298 |        0.747
       0.195 |        0.336 |        0.531
       0.181 |        0.430 |        0.611
       0.533 |        0.341 |        0.874
       0.159 |        0.407 |        0.566
       0.468 |        0.316 |        0.784
       0.211 |        0.325 |        0.535
       0.164 |        0.343 |        0.508
