  QueueTimes | ServiceTimes | SojournTimes

    3670.939 |       45.712 |     3716.652
    3709.001 |       41.249 |     3750.250
    3749.466 |       42.168 |     3791.634
    3789.897 |       41.666 |     3831.563
    3830.297 |       45.225 |     3875.522
    3870.984 |       38.184 |     3909.168
    3905.344 |       41.302 |     3946.645
    3943.570 |       42.133 |     3985.703
    3983.902 |       41.152 |     4025.054
    4024.499 |       42.250 |     4066.749
    4064.337 |       41.726 |     4106.063
    4105.964 |       41.691 |     4147.655
    4146.044 |       41.718 |     4187.762
    4184.965 |       41.804 |     4226.769
    4221.249 |       41.280 |     4262.529
    4256.456 |       42.315 |     4298.770
    4298.459 |       42.012 |     4340.471
    4329.182 |       40.662 |     4369.844
    4368.439 |       42.123 |     4410.562
    4408.823 |       33.452 |     4442.275
    4440.897 |       33.225 |     4474.122
    4470.656 |       33.377 |     4504.033
    4502.934 |       42.134 |     4545.068
    4544.720 |       41.973 |     4586.693
    4586.095 |       32.714 |     4618.810
    4617.778 |       33.285 |     4651.063
    4647.874 |       33.325 |     4681.199
    4679.297 |       33.824 |     4713.121
    4710.338 |       32.922 |     4743.260
    4738.801 |       37.658 |     4776.460
    4772.737 |       29.077 |     4801.814
    4801.051 |       42.145 |     4843.196
    4840.782 |       32.928 |     4873.710
    4873.178 |       33.332 |     4906.509
    4905.347 |       42.168 |     4947.515
    4940.216 |       41.223 |     4981.439
    4980.725 |       33.344 |     5014.068
    5013.301 |       34.309 |     5047.610
    5045.047 |       41.245 |     5086.293
    5084.518 |        1.937 |     5086.455
    5086.893 |       31.285 |     5118.177
    5108.016 |       32.975 |     5140.991
    5136.206 |       45.785 |     5181.990
    5180.791 |       29.294 |     5210.085
    5209.666 |       42.156 |     5251.822
    5251.459 |       33.381 |     5284.841
    5285.315 |       41.859 |     5327.173
    5325.827 |       32.706 |     5358.533
    5356.080 |       33.327 |     5389.407
    5385.517 |       42.718 |     5428.235
    5424.807 |       32.947 |     5457.753
    5455.315 |       33.195 |     5488.510
    5486.300 |       41.811 |     5528.111
    5527.227 |       41.695 |     5568.921
    5568.672 |       42.474 |     5611.146
    5609.347 |       40.990 |     5650.337
    5648.189 |        0.736 |     5648.925
    5645.956 |       40.973 |     5686.929
    5687.137 |       42.242 |     5729.379
    5723.946 |       41.613 |     5765.559
    5767.060 |       40.800 |     5807.860
    5803.521 |       42.629 |     5846.149
    5844.918 |       32.425 |     5877.343
    5874.614 |       42.749 |     5917.363
    5918.361 |       41.381 |     5959.743
    5956.317 |       41.498 |     5997.815
    5996.402 |       41.934 |     6038.336
    6037.178 |       41.523 |     6078.702
    6078.573 |       33.000 |     6111.573
    6110.905 |       42.085 |     6152.991
    6150.241 |       41.688 |     6191.929
    6188.739 |       41.757 |     6230.496
    6223.328 |       41.714 |     6265.042
    6258.070 |       41.740 |     6299.810
    6298.337 |        0.720 |     6299.058
    6296.412 |        2.753 |     6299.165
    6296.910 |       46.449 |     6343.359
    6343.010 |        3.326 |     6346.336
    6345.353 |       29.535 |     6374.889
    6373.108 |       42.145 |     6415.253
    6415.285 |       41.828 |     6457.113
    6454.608 |       41.623 |     6496.231
    6490.053 |       32.916 |     6522.970
    6514.265 |       41.653 |     6555.919
    6551.342 |       42.176 |     6593.518
    6592.069 |       32.893 |     6624.962
    6624.974 |       33.643 |     6658.617
    6655.617 |       33.373 |     6688.990
    6687.625 |       42.466 |     6730.090
    6726.678 |       32.280 |     6758.958
    6756.050 |       42.135 |     6798.186
    6794.753 |       32.883 |     6827.636
    6827.696 |       33.747 |     6861.443
    6861.874 |       42.171 |     6904.045
    6897.703 |       50.087 |     6947.790
    6944.426 |       41.189 |     6985.615
    6985.667 |       41.664 |     7027.332
    7025.572 |       42.170 |     7067.742
    7065.848 |       42.333 |     7108.181
    7110.548 |       40.595 |     7151.143
    7145.841 |       42.212 |     7188.053
    7185.036 |       50.062 |     7235.099
    7234.346 |       50.523 |     7284.869
    7283.775 |       40.749 |     7324.524
    7323.664 |       42.165 |     7365.829
    7365.622 |       33.145 |     7398.767
    7395.719 |       41.422 |     7437.141
    7437.074 |       42.154 |     7479.228
    7480.753 |       42.961 |     7523.715
    7520.374 |       41.169 |     7561.544
    7561.750 |       49.982 |     7611.732
    7608.262 |        1.640 |     7609.902
    7609.530 |       39.679 |     7649.209
    7644.768 |       41.040 |     7685.807
    7683.892 |       42.139 |     7726.031
    7724.975 |       41.192 |     7766.167
    7755.602 |       42.175 |     7797.777
    7797.627 |       41.731 |     7839.358
    7839.357 |       41.232 |     7880.589
    7878.977 |       42.146 |     7921.123
    7918.224 |       41.735 |     7959.959
    7957.717 |       41.724 |     7999.441
    7999.187 |       41.253 |     8040.440
    8040.474 |       33.857 |     8074.331
    8071.580 |       41.189 |     8112.769
    8112.514 |       33.846 |     8146.360
    8138.736 |       32.841 |     8171.577
    8167.098 |       33.856 |     8200.954
    8200.271 |       33.443 |     8233.714
    8232.407 |       24.494 |     8256.902
    8251.265 |       42.144 |     8293.409
    8290.251 |       33.491 |     8323.743
    8321.960 |       41.920 |     8363.880
    8361.239 |       41.465 |     8402.704
    8402.296 |       33.374 |     8435.669
    8433.631 |       32.919 |     8466.549
    8466.132 |       42.139 |     8508.270
    8506.932 |       32.931 |     8539.863
    8537.021 |       33.821 |     8570.842
    8566.392 |       41.717 |     8608.110
    8599.118 |       32.908 |     8632.026
    8631.888 |       33.344 |     8665.232
    8661.599 |       33.838 |     8695.436
    8694.821 |       41.725 |     8736.546
    8732.949 |       32.896 |     8765.845
    8762.652 |       42.159 |     8804.811
    8801.827 |       41.736 |     8843.563
    8843.542 |       41.743 |     8885.285
    8884.725 |       32.885 |     8917.610
    8915.039 |       33.846 |     8948.885
    8947.794 |       32.937 |     8980.731
    8980.143 |       42.120 |     9022.262
    9021.874 |       33.376 |     9055.250
    9054.887 |       32.918 |     9087.805
    9085.159 |       42.164 |     9127.324
    9119.949 |       33.399 |     9153.348
    9150.994 |       32.901 |     9183.895
    9184.508 |       42.554 |     9227.062
    9223.338 |       32.899 |     9256.237
    9256.224 |       42.184 |     9298.408
    9296.906 |       32.889 |     9329.795
    9329.385 |       42.202 |     9371.587
    9362.715 |       41.674 |     9404.388
    9402.955 |       41.240 |     9444.194
    9440.935 |       42.157 |     9483.092
    9482.691 |       41.664 |     9524.355
    9517.399 |       41.684 |     9559.084
    9558.416 |       41.774 |     9600.190
    9599.934 |       32.917 |     9632.851
    9633.140 |       42.254 |     9675.395
    9674.531 |       32.883 |     9707.414
    9706.348 |        3.326 |     9709.675
    9709.398 |       38.716 |     9748.113
    9746.137 |       32.952 |     9779.089
    9775.570 |       42.112 |     9817.681
    9814.092 |       32.873 |     9846.965
    9840.200 |       42.157 |     9882.357
    9881.304 |       41.708 |     9923.012
    9921.559 |        3.535 |     9925.094
    9924.478 |       29.214 |     9953.692
    9952.392 |       42.153 |     9994.545
    9993.813 |       32.892 |    10026.705
   10026.160 |       41.611 |    10067.771
   10067.649 |       42.156 |    10109.805
   10103.206 |       41.739 |    10144.945
   10141.902 |       41.753 |    10183.656
   10182.513 |        2.794 |    10185.307
   10183.836 |       38.882 |    10222.718
   10218.822 |       41.699 |    10260.522
   10260.582 |       32.912 |    10293.493
   10290.833 |       33.341 |    10324.173
   10323.720 |       42.169 |    10365.889
   10365.605 |       32.894 |    10398.499
   10392.544 |       42.188 |    10434.732
   10432.828 |       41.638 |    10474.466
   10471.881 |       41.763 |    10513.644
   10511.929 |       32.899 |    10544.828
   10542.282 |       42.153 |    10584.435
   10581.619 |       32.905 |    10614.524
   10612.152 |       42.192 |    10654.343
