  QueueTimes | ServiceTimes | SojournTimes

       0.294 |        0.854 |        1.148
       0.326 |        0.522 |        0.848
       1.777 |        0.832 |        2.610
       1.172 |        1.273 |        2.445
       0.264 |        0.701 |        0.965
       0.948 |        0.574 |        1.522
       0.881 |        0.456 |        1.337
       0.269 |        0.661 |        0.930
       0.269 |        1.286 |        1.555
       0.302 |        1.268 |        1.571
       0.300 |        0.907 |        1.207
       0.362 |        0.845 |        1.207
       0.298 |        0.741 |        1.039
       0.356 |        0.851 |        1.208
       0.302 |        0.956 |        1.258
       0.301 |        0.887 |        1.188
       0.326 |        0.653 |        0.979
       0.446 |        1.151 |        1.597
       1.446 |        0.993 |        2.439
       1.145 |        0.623 |        1.768
       0.498 |        0.624 |        1.122
       1.124 |        1.890 |        3.014
       1.457 |        1.770 |        3.227
       2.554 |        1.714 |        4.268
       3.130 |        0.576 |        3.706
       1.189 |        1.346 |        2.535
       1.583 |        0.472 |        2.055
       0.303 |        0.529 |        0.832
       0.301 |        0.633 |        0.934
       0.475 |        0.468 |        0.943
       0.574 |        1.272 |        1.846
       0.668 |        1.080 |        1.748
       2.068 |        0.598 |        2.666
       1.502 |        1.122 |        2.624
       2.571 |        0.678 |        3.249
       0.941 |        1.204 |        2.145
       0.300 |        0.558 |        0.858
       0.267 |        2.235 |        2.502
       0.301 |        1.171 |        1.472
       0.478 |        1.442 |        1.920
       0.563 |        2.943 |        3.506
       2.280 |        0.618 |        2.898
       0.649 |        1.528 |        2.177
       2.568 |        0.601 |        3.168
       1.244 |        0.588 |        1.832
       1.485 |        0.887 |        2.371
       2.522 |        0.697 |        3.219
       1.715 |        1.306 |        3.022
       1.580 |        0.303 |        1.883
       0.475 |        0.881 |        1.356
       0.929 |        0.988 |        1.917
       0.534 |        2.840 |        3.374
       2.055 |        0.567 |        2.622
       0.342 |        0.555 |        0.896
       0.298 |        0.830 |        1.128
       0.303 |        2.542 |        2.844
       0.703 |        1.808 |        2.511
       5.287 |        1.668 |        6.955
       3.012 |        2.629 |        5.640
       6.595 |        2.294 |        8.889
       8.264 |        0.619 |        8.883
       4.842 |        0.799 |        5.641
       6.327 |        0.481 |        6.808
       5.691 |        0.638 |        6.328
       4.372 |        1.485 |        5.857
       3.240 |        0.928 |        4.169
       2.590 |        0.778 |        3.368
       0.439 |        0.789 |        1.228
       1.074 |        2.451 |        3.525
       0.321 |        0.549 |        0.870
       0.353 |        0.592 |        0.945
       0.302 |        1.011 |        1.313
