  QueueTimes | ServiceTimes | SojournTimes

    7320.722 |        5.661 |     7326.383
    7326.022 |        3.965 |     7329.987
    7327.789 |        0.897 |     7328.687
    7325.319 |        7.243 |     7332.562
    7332.034 |        3.178 |     7335.212
    7334.203 |        6.839 |     7341.042
    7336.321 |        2.384 |     7338.705
    7337.618 |        7.482 |     7345.100
    7344.998 |        8.674 |     7353.672
    7352.999 |        5.878 |     7358.877
    7357.723 |        7.536 |     7365.259
    7365.595 |        8.190 |     7373.785
    7369.836 |        5.853 |     7375.688
    7367.386 |        4.917 |     7372.303
    7371.540 |        3.373 |     7374.913
    7374.688 |        7.946 |     7382.634
    7378.079 |        3.337 |     7381.416
    7379.757 |        2.653 |     7382.410
    7375.959 |        5.031 |     7380.990
    7380.776 |        6.678 |     7387.454
    7387.149 |        6.600 |     7393.749
    7390.936 |        6.868 |     7397.805
    7395.845 |        1.728 |     7397.572
    7394.151 |        7.937 |     7402.089
    7400.462 |        2.898 |     7403.360
    7401.488 |        1.304 |     7402.791
    7396.780 |        4.134 |     7400.914
    7398.231 |        4.380 |     7402.612
    7402.669 |       14.132 |     7416.801
    7414.758 |        0.452 |     7415.210
    7411.679 |        4.355 |     7416.034
    7414.297 |       10.553 |     7424.850
    7424.819 |        5.807 |     7430.627
    7428.268 |        5.071 |     7433.339
    7432.666 |        9.542 |     7442.209
    7437.109 |        6.683 |     7443.791
    7443.379 |        4.575 |     7447.954
    7447.498 |        8.672 |     7456.171
    7454.992 |        9.462 |     7464.454
    7463.517 |        7.353 |     7470.870
    7470.240 |       16.457 |     7486.697
    7486.157 |        8.123 |     7494.280
    7493.121 |        7.207 |     7500.328
    7498.824 |        6.929 |     7505.753
    7494.825 |        5.177 |     7500.002
    7498.669 |        3.754 |     7502.423
    7499.672 |        5.747 |     7505.419
    7504.394 |        6.500 |     7510.894
    7509.792 |        3.973 |     7513.765
    7511.549 |        8.454 |     7520.003
    7519.059 |        5.437 |     7524.496
    7524.105 |        6.271 |     7530.376
    7530.270 |        7.920 |     7538.191
    7535.838 |       14.812 |     7550.649
    7550.316 |        8.299 |     7558.615
    7554.905 |        4.728 |     7559.633
    7558.353 |        7.103 |     7565.456
    7564.582 |        6.543 |     7571.126
    7566.793 |       21.649 |     7588.442
    7585.549 |       10.327 |     7595.877
    7595.420 |        2.780 |     7598.200
    7594.410 |        9.089 |     7603.500
    7603.435 |        6.321 |     7609.756
    7608.240 |        6.637 |     7614.877
    7614.309 |        6.559 |     7620.868
    7619.638 |       10.390 |     7630.028
    7629.159 |        4.564 |     7633.723
    7632.586 |        4.244 |     7636.829
    7636.390 |       12.493 |     7648.884
    7646.938 |        9.743 |     7656.681
    7657.014 |        4.377 |     7661.391
    7659.945 |        2.364 |     7662.309
    7656.920 |        4.745 |     7661.665
    7656.217 |       11.711 |     7667.928
    7667.550 |        9.507 |     7677.057
    7676.615 |        6.585 |     7683.199
    7682.109 |        5.756 |     7687.866
    7684.296 |        6.694 |     7690.990
    7690.807 |       10.568 |     7701.375
    7698.966 |       10.999 |     7709.965
    7708.349 |       10.210 |     7718.559
    7718.488 |        6.908 |     7725.396
    7719.899 |        5.162 |     7725.061
    7723.865 |       11.396 |     7735.261
    7734.303 |       17.622 |     7751.925
    7749.366 |        5.696 |     7755.062
    7754.776 |        4.000 |     7758.776
    7758.477 |       15.846 |     7774.323
    7774.916 |       10.338 |     7785.254
    7780.982 |        2.764 |     7783.746
    7776.143 |        6.963 |     7783.107
    7781.699 |        3.183 |     7784.882
    7782.079 |        2.297 |     7784.376
    7780.554 |        1.085 |     7781.639
    7777.519 |        2.568 |     7780.087
    7780.707 |        5.019 |     7785.726
    7777.131 |        3.715 |     7780.846
    7780.127 |        6.065 |     7786.192
    7782.715 |        5.108 |     7787.824
    7788.368 |        5.033 |     7793.402
    7789.715 |        8.680 |     7798.395
    7795.524 |       10.705 |     7806.229
    7806.093 |        1.471 |     7807.563
    7807.644 |        9.415 |     7817.058
    7817.029 |        5.649 |     7822.679
    7821.714 |        3.173 |     7824.887
    7824.169 |       10.236 |     7834.404
    7834.409 |        7.440 |     7841.849
    7836.460 |        8.985 |     7845.445
    7843.586 |        4.593 |     7848.179
    7845.093 |        8.140 |     7853.233
    7850.146 |        8.001 |     7858.147
    7857.157 |        2.071 |     7859.228
    7854.340 |        3.609 |     7857.948
    7857.738 |        9.357 |     7867.095
    7866.504 |        9.877 |     7876.380
    7876.505 |        6.427 |     7882.933
    7882.206 |        3.285 |     7885.492
    7883.507 |        4.669 |     7888.176
    7887.209 |        9.296 |     7896.505
    7894.640 |        8.651 |     7903.291
    7897.055 |        0.918 |     7897.973
    7893.230 |        8.592 |     7901.822
    7899.676 |        1.836 |     7901.512
    7901.353 |        1.070 |     7902.423
    7902.848 |       10.348 |     7913.196
    7911.907 |       14.362 |     7926.269
    7925.544 |        6.585 |     7932.129
    7928.959 |        6.540 |     7935.499
    7931.460 |        5.686 |     7937.146
    7935.378 |        5.409 |     7940.787
    7940.947 |       20.402 |     7961.349
    7960.637 |        5.578 |     7966.216
    7965.767 |       11.856 |     7977.623
    7977.525 |        5.270 |     7982.795
    7981.789 |        8.497 |     7990.286
    7988.846 |        1.855 |     7990.702
    7987.974 |       11.215 |     7999.189
    7998.691 |        2.418 |     8001.109
    7997.890 |       14.697 |     8012.587
    8012.134 |       13.436 |     8025.571
    8024.449 |        1.378 |     8025.827
    8021.295 |        6.042 |     8027.337
    8025.976 |        6.564 |     8032.540
    8032.217 |        4.099 |     8036.317
